row_index,R-squared,most_important_feature
5,-5.1626107412818,MACD
6,-4.26592743248763,MACD
7,-4.407478393482184,MACD
8,-5.696162420260198,MACD
9,0.29671132927662447,MACD
10,0.30370306697473703,MACD
11,0.05501336495012532,MACD
12,-0.0019071327761972512,MACD
13,-0.17147447357813994,MACD
14,0.029867821100814984,MACD
15,0.11541250329212971,MACD
16,0.08758267358441685,MACD
17,-0.0546318455501591,MACD
18,-1.5508410433641249,MACD
19,-0.20574214633754173,MACD
20,-0.26050987296681716,MACD
21,-0.25644804328717496,MACD
22,-1.6221085842443923,MACD
23,-1.868489625195311,MACD
24,-2.058349617170972,MACD
